Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_75_243,VSS,Metal1,124.0860,301.9390,0.000614
FILLER_75_236,VSS,Metal1,120.7260,301.9390,0.000250
FILLER_75_229,VSS,Metal1,117.3660,301.9390,0.000198
FILLER_75_222,VSS,Metal1,114.0060,301.9390,0.000146
FILLER_75_191,VSS,Metal1,97.6800,302.4000,0.000136
FILLER_75_189,VSS,Metal1,96.9600,302.4000,0.000136
FILLER_75_182,VSS,Metal1,94.8060,301.9390,0.000152
FILLER_75_175,VSS,Metal1,91.4460,301.9390,0.000154
FILLER_75_164,VSS,Metal1,84.9600,302.4000,0.000154
FILLER_75_160,VSS,Metal1,83.5080,302.0230,0.000155
FILLER_75_148,VSS,Metal1,77.2800,302.4000,0.000193
FILLER_75_119,VSS,Metal1,63.3600,302.4000,0.000230
FILLER_75_103,VSS,Metal1,56.8860,301.9390,0.000230
FILLER_75_91,VSS,Metal1,49.9200,302.4000,0.000163
FILLER_75_80,VSS,Metal1,44.6400,302.4000,0.000155
FILLER_75_68,VSS,Metal1,38.8800,302.4000,0.000155
FILLER_75_64,VSS,Metal1,36.7200,302.4000,0.000070
FILLER_75_53,VSS,Metal1,31.6800,302.4000,0.000053
FILLER_75_49,VSS,Metal1,30.2280,302.0230,0.000053
FILLER_75_39,VSS,Metal1,24.7200,302.4000,0.000053
FILLER_75_37,VSS,Metal1,24.0000,302.4000,0.000055
FILLER_75_30,VSS,Metal1,21.8460,301.9390,0.000056
FILLER_75_23,VSS,Metal1,18.4860,301.9390,0.000061
FILLER_75_16,VSS,Metal1,15.1260,301.9390,0.000062
FILLER_75_11,VSS,Metal1,11.5200,302.4000,0.000064
FILLER_75_7,VSS,Metal1,10.0680,302.0230,0.000064
FILLER_75_0,VSS,Metal1,7.4460,301.9390,0.000064
FILLER_74_651,VSS,Metal1,318.4800,294.8400,0.004345
FILLER_74_647,VSS,Metal1,317.2680,295.2160,0.004345
FILLER_74_640,VSS,Metal1,314.6460,295.3000,0.004344
FILLER_74_615,VSS,Metal1,301.4400,294.8400,0.004295
FILLER_74_611,VSS,Metal1,299.9880,295.2160,0.004295
FILLER_74_604,VSS,Metal1,296.1600,294.8400,0.004271
FILLER_74_600,VSS,Metal1,294.7080,295.2160,0.004269
FILLER_74_593,VSS,Metal1,292.0860,295.3000,0.004231
